Term,Canada
Canada appeared in below documents,Total Words(m),Frequency
file1.txt,92,2
file2.txt,101,3
file3.txt,70,1
file4.txt,63,3
file5.txt,111,3
file6.txt,98,3
file7.txt,108,1
file8.txt,64,2
file9.txt,77,2
file10.txt,95,3
file13.txt,91,2
file14.txt,98,2
file17.txt,94,2
file18.txt,97,4
file19.txt,102,3
file20.txt,94,3
file22.txt,95,2
file23.txt,96,1
file24.txt,94,3
file25.txt,97,3
file26.txt,95,4
file27.txt,101,1
file29.txt,111,3
file30.txt,98,2
file31.txt,101,4
file32.txt,100,3
file33.txt,51,2
file34.txt,95,2
file35.txt,89,3
file36.txt,92,1
file38.txt,91,3
file39.txt,101,2
file40.txt,90,2
file41.txt,102,2
file42.txt,67,1
file43.txt,93,3
file44.txt,109,3
file45.txt,100,2
file46.txt,80,1
file47.txt,96,3
file48.txt,101,3
file49.txt,107,3
file50.txt,93,1
file51.txt,94,3
file52.txt,99,2
file53.txt,53,1
file54.txt,89,3
file55.txt,92,2
file56.txt,48,2
file57.txt,97,1
file58.txt,102,2
file59.txt,97,3
file60.txt,91,3
file61.txt,72,2
file62.txt,77,3
file63.txt,76,3
file64.txt,73,2
file66.txt,90,3
file67.txt,93,4
file68.txt,96,2
file69.txt,92,3
file70.txt,87,2
file71.txt,90,3
file72.txt,90,2
file73.txt,47,2
file74.txt,85,1
file75.txt,59,2
file76.txt,94,3
file77.txt,100,1
file78.txt,97,2
file79.txt,99,2
file80.txt,94,1
file81.txt,100,1
file82.txt,86,3
file83.txt,107,3
file84.txt,99,1
file86.txt,90,2
file87.txt,103,1
file88.txt,102,3
file89.txt,104,2
file91.txt,55,2
file92.txt,102,1
file93.txt,97,4
file94.txt,96,3
file95.txt,92,2
file96.txt,96,3
file97.txt,92,2
file98.txt,101,2
file99.txt,94,3
file100.txt,96,4
file131.txt,84,2
file141.txt,90,3
file203.txt,94,1
file207.txt,89,2
file212.txt,73,3
file216.txt,99,2
file228.txt,85,2
file229.txt,91,2
file235.txt,89,1
file242.txt,76,3
file244.txt,75,2
file248.txt,69,3
file251.txt,88,3
file253.txt,74,2
file254.txt,75,2
file255.txt,91,2
file260.txt,74,1
file262.txt,89,1
file264.txt,84,3
file266.txt,66,1
file268.txt,74,2
file269.txt,86,3
file274.txt,92,2
file277.txt,89,1
file278.txt,79,2
file282.txt,76,3
file284.txt,90,2
file291.txt,88,2
file297.txt,77,2
file298.txt,78,1
file302.txt,91,3
file304.txt,100,1
file306.txt,94,1
file311.txt,89,1
file320.txt,80,3
file333.txt,78,2
file336.txt,82,1
file337.txt,91,1
file339.txt,97,2
file343.txt,62,2
file348.txt,82,1
file353.txt,78,2
file359.txt,68,1
file363.txt,65,3
file364.txt,80,1
file367.txt,86,1
file378.txt,97,3
file379.txt,93,2
file384.txt,68,1
file386.txt,65,2
file389.txt,96,1
file392.txt,77,1
file394.txt,73,3
file395.txt,113,2
file396.txt,66,1
file402.txt,85,1
file403.txt,94,3
file404.txt,83,2
file408.txt,100,1
file409.txt,99,1
file411.txt,93,1
file412.txt,105,1
file415.txt,106,1
file416.txt,91,1
file417.txt,104,1
file418.txt,101,1
file420.txt,61,3
file427.txt,121,3
file435.txt,95,2
file436.txt,102,1
file446.txt,74,1
file447.txt,69,2
file449.txt,92,2
file450.txt,101,2
file451.txt,57,2
file456.txt,69,1
file459.txt,80,2
file466.txt,100,2
file467.txt,69,2
file468.txt,96,1
file470.txt,93,1
file471.txt,99,1
file472.txt,105,1
file477.txt,82,1
file482.txt,88,3
file483.txt,115,1
file485.txt,99,2
file486.txt,71,3
file488.txt,91,3
file490.txt,71,1
file501.txt,97,2
file502.txt,92,1
file506.txt,97,4
file510.txt,76,2
file515.txt,56,3
file517.txt,94,2
file521.txt,72,1
file524.txt,69,1
file525.txt,74,2
file532.txt,79,1
file551.txt,66,1
file562.txt,73,4
file565.txt,76,1
file571.txt,73,1
file577.txt,74,2
file582.txt,88,2
file593.txt,71,2
file612.txt,93,1
file615.txt,97,1
file621.txt,95,2
file634.txt,53,1
file640.txt,102,1
file645.txt,100,1
file649.txt,92,1
file651.txt,103,1
file660.txt,102,3
file664.txt,94,3
file665.txt,104,1
file666.txt,91,3
file667.txt,97,1
file670.txt,103,1
file679.txt,97,3
file687.txt,98,1
file697.txt,96,1
file699.txt,89,3
file700.txt,90,2
